,title,price,location
0,"[' Lomas de  San Francisco, zona Albert Einstein']","['$1,200.00\xa0']",[' Antiguo Cuscatlán ']
1,[' Amplios Jardines. excelente ubicacion y seguridad privada'],"['$1,500.00\xa0']",[' Antiguo Cuscatlán ']
2,[' SE ALQUILA CASA  CON LOCAL COMERCIAL ADICIONAL .ZONA MIRAMONTE'],"['$1,200.00\xa0']",[' San Salvador ']
3,[' ALQUILER CASA AMUEBLADA O CON LINEA BLANCA EN RESIDENCIAL BOSQUES DE SANTA ELENA 2'],"['$1,700.00\xa0']",[' Antiguo Cuscatlán ']
4,[' ALQUILO CASA PARA OFICINA O VIVIENDA EN LA COLONIA ESCALÓN. PARQUEO 3 VEHICULOS'],['$800.00\xa0'],[' San Salvador ']
5,[' ALQUILER CASA REMODELADA Y DE 1 PLANTA EN RESIDENCIAL LOMAS DE SAN FRANCISCO (No es privado)'],"['$1,200.00\xa0']",[' Antiguo Cuscatlán ']
6,[' ALQUILER O VENTA CASA CON O SIN MUEBLES SOBRE AVENIDA MASFERRER NORTE'],"['$3,300.00\xa0']",[' San Salvador ']
7,"[' Casa en alquiler, col. Escalón.']","['$1,500.00\xa0']",[' San Salvador ']
8,[' ALQUILO CASA POR PLAZA FUENTES DE BEETHOVEN EN COLONIA ESCALON CON 5 PARQUEOS'],"['$1,500.00\xa0']",[' San Salvador ']
9,[' Se Alquila!! casa en San Benito en residencial privada!'],"['$1,500.00\xa0']",[' San Salvador ']
10,[' Casa en 75 avenida norte escalon'],['$690.00\xa0'],[' San Salvador ']
11,[' Casa San Benito Canarias Amueblada Alquiler'],"['$2,800.00\xa0']",[' San Salvador ']
12,[' ALQUILO CASA DE UN NIVEL EN RESIDENCIAL BOSQUES DE SANTA ELENA.  PARQUEO 8 VEHÍCULOS'],"['$2,000.00\xa0']",[' San Salvador ']
13,[' ALQUILO CASA PARA OFICINA O NEGOCIO EN ZONA ALTA COLONIA ESCALÓN CON 8 PARQUEOS'],"['$2,900.00\xa0']",[' San Salvador ']
