,title,price,location
0,"[' RESIDENCIAL LOS CEDROS, LOURDES. CASA DE UN NIVEL, LUJOSOS ACABADOS']","['$135,000.00\xa0']",[' Colón ']
1,[' Venta de casa en Residencial Los Sueños.'],"['$825,000.00\xa0']",[' San Salvador ']
2,[' Casa en Venta en Las Piletas'],"['$865,000.00\xa0']",[' Santa Tecla ']
3,"[' VENTA CASA DE 2 PLANTAS EN RESIDENCIAL BRISAS DE LAS MERCEDES (Zaragoza, La Libertad)']","['$295,000.00\xa0']",[' Zaragoza ']
4,"[' VENTA CASA EN RESIDENCIAL PORTONES DE MADRESELVA 2 (Inmediaciones Edificio Avianca, Santa Elena)']","['$2,200,000.00\xa0']",[' Antiguo Cuscatlán ']
5,[' VENTA CASA SOBRE CALLE PRINCIPAL EN COLONIA MIRAMONTE'],"['$325,000.00\xa0']",[' San Salvador ']
6,[' Casa en venta ubicada en zona de la Iglesia Luz del Mundo'],"['$169,000.00\xa0']",[' San Salvador ']
7,[' Cabaña entre la montaña en Venta en Apaneca'],"['$235,000.00\xa0']",[' Ahuachapán ']
8,[' Casa en venta colonia El Roble'],"['$400,000.00\xa0']",[' San Salvador ']
9,"[' VENDO CASA DE 1,700 VARAS EN RESIDENCIAL EL FARO, PLANES DE RENDEROS. A 3 MINUTOS DE CASA DE PIEDRA']","['$275,000.00\xa0']",[' San Salvador ']
10,[' SAN BENITO EN COMPLEJO PRIVADO.'],"['$1,300,000.00\xa0']",[' San Salvador ']
11,"[' Se vende casa zona San Antonio Abad, entre La Bernal y Centro Comercial San Luis']","['$178,500.00\xa0']",[' San Salvador ']
12,[' CASA EN VENTA COLONIA ESCALON'],"['$530,000.00\xa0']",[' El Salvador ']
13,"[' VENDO CASA EN RESIDENCIAL PALO ALTO, CARRETERA AL PUERTO DE LA LIBERTAD. CINCO HABITACIONES']","['$250,000.00\xa0']",[' Santa Tecla ']
14,"[' CASA EN VENTA EN  SANTA TERESA, SANTA TECLA']","['$613,000.00\xa0']",[' Santa Tecla ']
15,[' En Venta! Amplia casa en Quintas de la Hacienda.'],"['$300,000.00\xa0']",[' Zaragoza ']
16,[' Encantadora Quinta cerca de Costa del Sol y Aeropuerto'],"['$115,000.00\xa0']",[' La Paz ']
17,[' ¡Gran Oportunidad! Casa a estrenar en venta -amueblada - en Condado Santa Rosa'],"['$350,000.00\xa0']",[' Santa Tecla ']
18,"[' Casa en Venta en Usulután, Residencial Alejandria, Sector INDES']","['$59,000.00\xa0']",[' Usulután ']
19,"[' Especial para OFICINAS MEDICAS, LABORATORIOS,ETC']","['$300,000.00\xa0']",[' San Miguel ']
20,[' Casa en venta en colonia Miramonte en privado'],"['$140,000.00\xa0']",[' San Salvador ']
21,[' Venta de Casa en Residencial Santa Teresa para Vivienda o negocio'],"['$187,000.00\xa0']",[' Santa Tecla ']
22,[' venta de Casa Santa Elena Santa Elena sur'],"['$345,000.00\xa0']",[' Antiguo Cuscatlán ']
23,[' Venta de casa en Colonia Escalón San Salvador ideal para inversión'],"['$450,000.00\xa0']",[' San Salvador ']
24,[' Se vende casa Cumbres de La Escalón'],"['$260,000.00\xa0']",[' San Salvador ']
25,"[' Edificio en venta colonia Buenos Aires, zona boulevard de Los Héroes']","['$450,000.00\xa0']",[' San Salvador ']
